"Status","Name","Duration in ms","Description"
"passed","TestCase.InterFere_Test.new.test_Login.TestLogin#test_run_1__1__1__1___正常登陆_____api_user_signin____get____code___1___select_expectation_from_test_test_data_where_id_1___13017600000___all___81__123456__2_","661",""
"passed","TestCase.InterFere_Test.new.test_mission_new.TestLogin#test_run_1__1__1__1___正常查看_____api_user_mission_list____get____code___0__1__441456_","49",""
"passed","TestCase.InterFere_Test.new.test_Login.TestLogin#test_run_4__4__4__0___密码非法_____api_user_signin____get____code___0__30003___13000000000____all___80__2345678__2_","415",""
"passed","TestCase.InterFere_Test.new.test_Login.TestLogin#test_run_5__5__5__0___密码为空_____api_user_signin____get____code___0__30001___13000000000____all___80______2_","22",""
"passed","TestCase.InterFere_Test.new.test_mission_new.TestLogin#test_run_2__2__2__0___uid为空_____api_user_mission_list____get____code___0__30007_____","23",""
"passed","TestCase.InterFere_Test.new.test_yewuliu.TestT#test_login","605",""
"passed","TestCase.InterFere_Test.new.test_Login.TestLogin#test_run_3__3__3__0___手机号为空_____api_user_signin____get____code___0__30001_______all___80__123456__2_","21",""
"passed","TestCase.InterFere_Test.new.test_Login.TestLogin#test_run_2__2__2__0___手机号非法_____api_user_signin____get____code___0__30004___130000000000____all___80__123456__2_","28",""
"passed","TestCase.InterFere_Test.new.test_yewuliu.TestT#test_mission","50",""
